None,A,C,E+F+G,E+F,E+G,F+G,ignore,ignore,ignore,perfect
0.307692,-1.000000,-1.000000,0.352941,0.352941,0.342857,0.352941,-1.000000,-1.000000,-1.000000,0.240000
-1.000000,-1.000000,-1.000000,0.461538,0.461538,0.461538,0.461538,-1.000000,-1.000000,-1.000000,0.500000
0.250000,0.258065,0.266667,0.250000,0.269231,0.250000,0.250000,-1.000000,-1.000000,-1.000000,0.285714
0.275862,0.303030,0.312500,0.275862,0.275862,0.300000,0.275862,-1.000000,-1.000000,-1.000000,0.320000
0.294118,0.294118,0.333333,0.370370,0.370370,0.370370,0.370370,-1.000000,-1.000000,-1.000000,0.370370
-1.000000,-1.000000,0.431373,0.465116,0.465116,0.423077,0.465116,-1.000000,-1.000000,-1.000000,0.439024
0.130435,-1.000000,0.150000,0.150000,0.150000,0.150000,0.150000,-1.000000,-1.000000,-1.000000,0.150000
0.214286,0.214286,0.250000,0.250000,0.250000,0.250000,0.250000,-1.000000,-1.000000,-1.000000,0.250000
0.192308,0.192308,0.150000,0.157895,0.157895,0.157895,0.157895,-1.000000,-1.000000,-1.000000,0.157895
-1.000000,-1.000000,-1.000000,0.549020,0.549020,0.549020,0.549020,-1.000000,-1.000000,-1.000000,0.485714
0.214286,0.214286,0.230769,0.208333,0.208333,0.208333,0.208333,-1.000000,-1.000000,-1.000000,0.227273
-1.000000,-1.000000,-1.000000,0.557692,0.557692,0.557692,0.557692,-1.000000,-1.000000,-1.000000,0.566667
0.222222,0.214286,0.214286,0.260870,0.260870,0.260870,0.260870,-1.000000,-1.000000,-1.000000,0.260870
0.192308,0.192308,0.227273,0.250000,0.250000,0.250000,0.250000,-1.000000,-1.000000,-1.000000,0.250000
0.413043,-1.000000,-1.000000,0.413043,0.404255,0.413043,0.413043,-1.000000,-1.000000,-1.000000,0.500000
0.214286,0.222222,0.240000,0.260870,0.260870,0.260870,0.260870,-1.000000,-1.000000,-1.000000,0.260870
0.222222,0.222222,0.217391,0.217391,0.217391,0.217391,0.217391,-1.000000,-1.000000,-1.000000,0.217391
-1.000000,-1.000000,-1.000000,0.486486,0.463415,0.486486,0.486486,-1.000000,-1.000000,-1.000000,0.464286
0.266667,0.266667,0.285714,0.250000,0.250000,0.285714,0.250000,-1.000000,-1.000000,-1.000000,0.238095
0.382979,0.382979,0.382979,0.379310,0.379310,0.379310,0.379310,-1.000000,-1.000000,-1.000000,0.379310
0.375000,0.375000,0.391304,0.354839,0.354839,0.354839,0.354839,-1.000000,-1.000000,-1.000000,0.354839
0.192308,0.192308,0.142857,0.142857,0.142857,0.142857,0.142857,-1.000000,-1.000000,-1.000000,0.142857
0.294118,0.294118,0.259259,0.280000,0.280000,0.269231,0.280000,-1.000000,-1.000000,-1.000000,0.272727
0.185185,0.185185,0.200000,0.250000,0.250000,0.250000,0.250000,-1.000000,-1.000000,-1.000000,0.250000
0.250000,0.250000,0.269231,0.280000,0.280000,0.280000,0.280000,-1.000000,-1.000000,-1.000000,0.280000
0.166667,0.166667,0.190476,0.200000,0.200000,0.200000,0.200000,-1.000000,-1.000000,-1.000000,0.200000
0.185185,0.185185,0.181818,0.181818,0.181818,0.217391,0.217391,-1.000000,-1.000000,-1.000000,0.181818
0.192308,0.192308,0.208333,0.227273,0.217391,0.227273,0.227273,-1.000000,-1.000000,-1.000000,0.250000
0.125000,0.125000,0.150000,0.157895,0.157895,0.157895,0.157895,-1.000000,-1.000000,-1.000000,0.157895
0.275862,0.275862,0.291667,0.291667,0.291667,0.320000,0.320000,-1.000000,-1.000000,-1.000000,0.304348
0.206897,0.214286,0.230769,0.230769,0.230769,0.230769,0.230769,-1.000000,-1.000000,-1.000000,0.230769
0.125000,0.130435,0.105263,0.105263,0.105263,0.105263,0.105263,-1.000000,-1.000000,-1.000000,0.105263
0.314286,0.314286,0.290323,0.290323,0.290323,0.290323,0.290323,-1.000000,-1.000000,-1.000000,0.290323
0.160000,0.160000,0.105263,0.105263,0.105263,0.105263,0.105263,-1.000000,-1.000000,-1.000000,0.105263
0.206897,0.185185,0.166667,0.190476,0.181818,0.190476,0.190476,-1.000000,-1.000000,-1.000000,0.190476
0.250000,0.250000,0.285714,0.285714,0.285714,0.275862,0.275862,-1.000000,-1.000000,-1.000000,0.285714
-1.000000,-1.000000,-1.000000,0.511628,0.489362,0.511628,0.511628,-1.000000,-1.000000,-1.000000,0.535714
0.000000,0.000000,0.000000,0.000000,0.000000,0.000000,0.000000,-1.000000,-1.000000,-1.000000,0.000000
0.292683,0.289474,0.333333,0.346154,0.346154,0.346154,0.346154,-1.000000,-1.000000,-1.000000,0.346154
0.242424,0.250000,0.291667,0.291667,0.291667,0.291667,0.291667,-1.000000,-1.000000,-1.000000,0.291667
0.153846,0.153846,0.166667,0.142857,0.142857,0.142857,0.142857,-1.000000,-1.000000,-1.000000,0.142857
0.090909,0.090909,0.100000,0.111111,0.111111,0.111111,0.111111,-1.000000,-1.000000,-1.000000,0.111111
0.130435,0.130435,0.142857,0.142857,0.142857,0.142857,0.142857,-1.000000,-1.000000,-1.000000,0.142857
0.241379,0.241379,0.269231,0.280000,0.280000,0.280000,0.280000,-1.000000,-1.000000,-1.000000,0.280000
-1.000000,-1.000000,-1.000000,0.529412,0.529412,0.529412,0.529412,-1.000000,-1.000000,-1.000000,0.520000
0.266667,0.266667,0.307692,0.333333,0.333333,0.333333,0.333333,-1.000000,-1.000000,-1.000000,0.333333
0.325000,0.325000,-1.000000,0.304348,0.333333,0.304348,0.304348,-1.000000,-1.000000,-1.000000,0.285714
0.340909,0.340909,0.357143,0.378378,0.378378,0.378378,0.378378,-1.000000,-1.000000,-1.000000,0.411765
-1.000000,-1.000000,0.375000,0.375000,0.375000,0.377778,0.377778,-1.000000,-1.000000,-1.000000,0.375000
0.206897,0.214286,0.217391,0.217391,0.217391,0.217391,0.217391,-1.000000,-1.000000,-1.000000,0.217391
0.130435,0.130435,0.142857,0.142857,0.142857,0.142857,0.142857,-1.000000,-1.000000,-1.000000,0.142857
0.125000,0.130435,0.136364,0.136364,0.136364,0.136364,0.136364,-1.000000,-1.000000,-1.000000,0.136364
0.416667,0.416667,0.375000,0.416667,0.405405,0.416667,0.416667,-1.000000,-1.000000,-1.000000,0.517241
