None,A,C,B,D,F,E,ignore,G,ignore,perfect
42,46,29,42,28,28,28,30,29,29,28
52,42,37,52,43,34,34,37,34,37,34
30,22,20,29,23,22,20,20,20,22,20
30,29,22,30,27,23,22,22,22,27,22
46,34,31,45,44,31,31,31,31,36,31
32,26,23,31,23,23,23,23,23,23,23
-1,-1,-1,-1,-1,34,-1,35,34,59,34
25,20,19,24,19,19,19,19,19,24,19
29,21,20,28,28,19,19,19,19,28,19
23,21,22,23,22,22,22,22,22,22,19
41,33,32,41,38,26,29,28,25,29,23
-1,-1,58,-1,-1,39,57,58,44,52,39
57,57,20,57,57,20,20,21,21,44,20
54,54,39,54,45,41,39,38,38,45,37
33,31,30,33,32,30,30,30,30,32,24
42,32,19,38,37,19,19,20,19,24,19
23,18,17,23,17,17,17,17,17,23,17
25,25,22,25,25,20,20,21,20,25,20
38,36,30,37,30,30,30,30,30,30,27
35,25,19,34,33,19,19,19,19,19,19
37,18,18,37,18,18,18,18,18,28,18
22,20,19,21,19,19,19,19,19,20,19
26,20,18,25,24,18,18,18,18,25,18
44,40,31,44,30,30,31,30,30,31,30
30,26,25,30,25,25,25,25,25,28,25
24,25,20,24,22,20,20,19,19,22,19
32,31,29,33,32,36,48,29,29,32,25
31,27,23,29,28,23,23,23,23,29,23
36,26,22,26,22,22,22,22,22,26,22
24,19,18,22,18,18,18,18,18,20,18
44,39,23,41,41,23,23,23,23,35,19
29,19,18,20,18,18,18,18,18,19,18
48,46,46,48,47,40,44,40,40,45,40
29,29,22,28,23,23,22,22,22,23,22
34,31,31,34,33,31,31,31,31,31,31
33,28,19,30,30,19,19,19,19,30,19
20,18,19,18,19,19,19,19,19,18,18
39,35,33,39,33,34,33,34,34,37,33
29,28,24,28,24,24,24,24,24,27,24
30,23,22,30,29,28,22,22,22,29,22
35,21,21,34,34,21,21,21,21,21,21
31,26,22,31,30,21,21,21,21,30,21
21,19,19,20,19,19,19,19,19,20,19
29,26,23,29,28,24,23,23,23,29,22
32,28,20,30,30,23,20,20,20,23,20
30,28,24,29,28,24,21,24,23,29,21
36,37,34,34,34,28,29,27,26,34,20
31,29,20,31,31,21,20,20,20,31,20
26,25,20,26,25,24,20,20,20,25,20
32,31,27,31,27,24,24,27,24,27,24
25,20,18,25,21,19,18,18,18,21,18
28,24,20,28,25,20,20,20,20,27,20
35,22,23,34,22,22,23,22,22,23,22
29,27,22,28,27,26,22,22,22,27,22
27,26,25,27,25,25,25,25,25,24,21
50,51,34,49,34,34,33,33,33,35,33
21,17,17,21,17,17,17,17,17,17,17
34,24,20,29,20,20,20,22,21,21,19
32,31,29,32,31,31,29,31,31,31,29
38,31,31,37,35,22,22,23,23,31,22
42,38,27,41,40,27,27,28,27,32,27
37,36,22,37,35,32,22,23,22,34,22
38,29,25,37,28,26,25,23,23,28,23
42,33,32,37,35,35,22,21,21,35,21
50,46,30,57,32,29,30,31,30,47,29
48,29,27,39,40,26,26,28,27,39,26
56,38,18,25,24,20,18,19,19,25,18
50,35,30,44,35,32,30,34,30,38,24
36,29,22,36,29,23,22,22,22,29,22
40,35,23,40,40,24,22,24,24,33,22
28,24,20,27,25,21,20,20,20,27,20
31,29,23,31,32,27,23,24,24,27,23
29,26,23,29,27,24,23,24,24,26,23
36,20,20,35,24,20,20,20,20,24,20
36,28,28,35,32,25,25,27,25,27,24
30,25,21,30,30,21,21,21,21,30,21
28,23,20,27,23,20,20,20,20,27,20
20,21,19,21,19,19,19,19,19,21,19
29,22,22,29,29,19,19,19,19,29,19
25,22,19,25,23,18,18,18,18,25,18
41,37,24,40,41,24,24,25,24,40,24
21,21,20,21,17,17,17,17,17,20,17
43,32,29,43,33,30,29,30,29,32,29
39,36,34,39,36,23,23,23,23,29,23
33,32,31,32,32,24,30,23,23,32,22
-1,51,21,-1,-1,30,21,26,26,30,21
58,36,20,58,58,22,20,20,20,29,20
31,28,26,26,26,21,21,21,21,21,21
19,17,17,19,17,17,17,17,17,17,17
29,27,19,29,29,19,19,19,19,29,19
33,24,24,33,24,24,24,24,24,25,24
34,32,21,34,21,21,21,24,24,22,21
38,33,33,39,38,33,33,33,33,37,33
30,26,24,29,30,25,24,25,25,28,22
30,25,22,29,27,22,22,22,22,22,22
43,27,20,39,39,21,20,20,20,39,20
56,54,30,54,55,25,25,27,27,37,25
49,29,22,32,30,24,22,22,22,24,21
34,29,26,34,31,26,26,26,26,31,26
37,35,34,37,39,33,39,35,34,34,33
35,34,25,34,34,25,25,25,25,34,25
51,35,29,50,30,25,29,25,25,30,25
