None,A,C,E+F+G,E+F,E+G,F+G,ignore,ignore,ignore,perfect
42,46,29,28,28,28,28,-1,-1,-1,28
52,42,37,34,34,34,34,-1,-1,-1,34
30,22,20,20,20,20,20,-1,-1,-1,20
30,29,22,22,22,22,22,-1,-1,-1,22
46,34,31,31,31,31,31,-1,-1,-1,31
32,26,23,23,23,23,23,-1,-1,-1,23
-1,-1,-1,34,34,35,34,-1,-1,-1,34
25,20,19,19,19,19,19,-1,-1,-1,19
29,21,20,19,19,19,19,-1,-1,-1,19
23,21,22,22,22,22,22,-1,-1,-1,19
41,33,32,23,26,23,23,-1,-1,-1,23
-1,-1,58,39,39,43,39,-1,-1,-1,39
57,57,20,20,20,20,20,-1,-1,-1,20
54,54,39,37,39,37,37,-1,-1,-1,37
33,31,30,30,30,30,30,-1,-1,-1,24
42,32,19,19,19,19,19,-1,-1,-1,19
23,18,17,17,17,17,17,-1,-1,-1,17
25,25,22,20,20,20,20,-1,-1,-1,20
38,36,30,30,30,30,30,-1,-1,-1,27
35,25,19,19,19,19,19,-1,-1,-1,19
37,18,18,18,18,18,18,-1,-1,-1,18
22,20,19,19,19,19,19,-1,-1,-1,19
26,20,18,18,18,18,18,-1,-1,-1,18
44,40,31,30,30,30,30,-1,-1,-1,30
30,26,25,25,25,25,25,-1,-1,-1,25
24,25,20,20,20,20,20,-1,-1,-1,19
32,31,29,29,36,29,29,-1,-1,-1,25
31,27,23,23,23,23,23,-1,-1,-1,23
36,26,22,22,22,22,22,-1,-1,-1,22
24,19,18,18,18,18,18,-1,-1,-1,18
44,39,23,23,23,23,23,-1,-1,-1,19
29,19,18,18,18,18,18,-1,-1,-1,18
48,46,46,40,40,40,40,-1,-1,-1,40
29,29,22,22,22,22,22,-1,-1,-1,22
34,31,31,31,31,31,31,-1,-1,-1,31
33,28,19,19,19,19,19,-1,-1,-1,19
20,18,19,19,19,19,19,-1,-1,-1,18
39,35,33,33,33,34,34,-1,-1,-1,33
29,28,24,24,24,24,24,-1,-1,-1,24
30,23,22,22,22,22,22,-1,-1,-1,22
35,21,21,21,21,21,21,-1,-1,-1,21
31,26,22,21,21,21,21,-1,-1,-1,21
21,19,19,19,19,19,19,-1,-1,-1,19
29,26,23,23,23,23,23,-1,-1,-1,22
32,28,20,20,20,20,20,-1,-1,-1,20
30,28,24,21,21,22,22,-1,-1,-1,21
36,37,34,26,28,26,26,-1,-1,-1,20
31,29,20,20,20,20,20,-1,-1,-1,20
26,25,20,20,20,21,21,-1,-1,-1,20
32,31,27,24,24,24,24,-1,-1,-1,24
25,20,18,18,18,18,18,-1,-1,-1,18
28,24,20,20,20,20,20,-1,-1,-1,20
35,22,23,22,22,23,22,-1,-1,-1,22
29,27,22,22,22,24,24,-1,-1,-1,22
27,26,25,25,25,25,25,-1,-1,-1,21
50,51,34,33,33,33,33,-1,-1,-1,33
21,17,17,17,17,17,17,-1,-1,-1,17
34,24,20,20,20,20,20,-1,-1,-1,19
32,31,29,29,29,29,29,-1,-1,-1,29
38,31,31,22,22,22,22,-1,-1,-1,22
42,38,27,27,27,27,27,-1,-1,-1,27
37,36,22,22,22,24,24,-1,-1,-1,22
38,29,25,23,25,23,23,-1,-1,-1,23
42,33,32,21,22,21,21,-1,-1,-1,21
50,46,30,29,29,30,29,-1,-1,-1,29
48,29,27,26,26,26,26,-1,-1,-1,26
56,38,18,18,18,18,18,-1,-1,-1,18
50,35,30,30,30,30,30,-1,-1,-1,24
36,29,22,22,22,22,22,-1,-1,-1,22
40,35,23,22,24,22,24,-1,-1,-1,22
28,24,20,20,20,20,20,-1,-1,-1,20
31,29,23,23,23,23,23,-1,-1,-1,23
