None,A,C,E+F+G,E+F,E+G,F+G,ignore,ignore,ignore,perfect
39,-1,-1,34,34,35,34,-1,-1,-1,25
-1,-1,-1,52,52,52,52,-1,-1,-1,38
32,31,30,24,26,24,24,-1,-1,-1,21
29,33,32,29,29,30,29,-1,-1,-1,25
34,34,30,27,27,27,27,-1,-1,-1,27
-1,-1,51,43,43,52,43,-1,-1,-1,41
23,-1,20,20,20,20,20,-1,-1,-1,20
28,28,24,24,24,24,24,-1,-1,-1,24
26,26,20,19,19,19,19,-1,-1,-1,19
-1,-1,-1,51,51,51,51,-1,-1,-1,35
28,28,26,24,24,24,24,-1,-1,-1,22
-1,-1,-1,52,52,52,52,-1,-1,-1,30
27,28,28,23,23,23,23,-1,-1,-1,23
26,26,22,20,20,20,20,-1,-1,-1,20
46,-1,-1,46,47,46,46,-1,-1,-1,36
28,27,25,23,23,23,23,-1,-1,-1,23
27,27,23,23,23,23,23,-1,-1,-1,23
-1,-1,-1,37,41,37,37,-1,-1,-1,28
30,30,28,24,24,28,24,-1,-1,-1,21
47,47,47,29,29,29,29,-1,-1,-1,29
48,48,46,31,31,31,31,-1,-1,-1,31
26,26,21,21,21,21,21,-1,-1,-1,21
34,34,27,25,25,26,25,-1,-1,-1,22
27,27,25,20,20,20,20,-1,-1,-1,20
28,28,26,25,25,25,25,-1,-1,-1,25
24,24,21,20,20,20,20,-1,-1,-1,20
27,27,22,22,22,23,23,-1,-1,-1,22
26,26,24,22,23,22,22,-1,-1,-1,20
24,24,20,19,19,19,19,-1,-1,-1,19
29,29,24,24,24,25,25,-1,-1,-1,23
29,28,26,26,26,26,26,-1,-1,-1,26
24,23,19,19,19,19,19,-1,-1,-1,19
35,35,31,31,31,31,31,-1,-1,-1,31
25,25,19,19,19,19,19,-1,-1,-1,19
29,27,24,21,22,21,21,-1,-1,-1,21
32,32,28,28,28,29,29,-1,-1,-1,28
-1,-1,-1,43,47,43,43,-1,-1,-1,28
18,18,18,18,18,18,18,-1,-1,-1,18
41,38,33,26,26,26,26,-1,-1,-1,26
33,32,24,24,24,24,24,-1,-1,-1,24
26,26,24,21,21,21,21,-1,-1,-1,21
22,22,20,18,18,18,18,-1,-1,-1,18
23,23,21,21,21,21,21,-1,-1,-1,21
29,29,26,25,25,25,25,-1,-1,-1,25
-1,-1,-1,51,51,51,51,-1,-1,-1,50
30,30,26,24,24,24,24,-1,-1,-1,24
40,40,-1,23,24,23,23,-1,-1,-1,21
44,44,42,37,37,37,37,-1,-1,-1,34
-1,-1,40,40,40,45,45,-1,-1,-1,40
29,28,23,23,23,23,23,-1,-1,-1,23
23,23,21,21,21,21,21,-1,-1,-1,21
24,23,22,22,22,22,22,-1,-1,-1,22
60,60,40,36,37,36,36,-1,-1,-1,29
51,51,50,24,26,24,24,-1,-1,-1,22
33,32,32,32,32,32,32,-1,-1,-1,32
27,27,27,24,24,24,24,-1,-1,-1,24
27,24,24,22,22,22,22,-1,-1,-1,22
41,40,37,30,30,30,30,-1,-1,-1,28
21,21,19,19,19,19,19,-1,-1,-1,19
30,30,28,28,28,28,28,-1,-1,-1,28
39,39,34,33,33,33,33,-1,-1,-1,31
27,27,22,22,22,22,22,-1,-1,-1,22
32,32,28,26,27,26,26,-1,-1,-1,24
33,34,33,22,22,22,22,-1,-1,-1,22
42,42,37,26,28,26,26,-1,-1,-1,25
19,19,19,19,19,19,19,-1,-1,-1,19
28,28,23,23,23,23,23,-1,-1,-1,23
22,22,19,19,19,19,19,-1,-1,-1,19
